Wavelength(nm)	Sample_S1_Abs_coeff(1/cm)	Sample_S2_Abs_coeff(1/cm)
506.17	9.57381683	3.54114361
506.6	10.29340588	3.82959239
507.03	9.79849585	3.29873118
507.46	9.10430676	3.35804662
507.9	9.67769816	3.16210169
508.33	9.8695622	2.83362477
508.76	8.89266855	3.27531457
509.19	9.3819293	3.21699384
509.63	10.78338097	3.26285812
510.06	10.52485052	3.68415043
510.49	9.98830693	3.105892
510.92	10.15004968	3.95979887
511.36	10.32484818	3.36242146
511.79	10.01198791	2.84217198
512.22	10.24293414	3.67625653
512.65	10.84871413	3.50568421
513.08	10.13840222	3.73579574
513.52	10.35642675	3.13580276
513.95	9.74879403	3.59534017
514.38	10.97968366	3.69411264
514.81	10.32651535	3.55806601
515.24	10.45728217	3.22376237
515.67	10.45125517	3.49047684
516.11	10.80514882	3.73918696
516.54	10.60952732	3.91554947
516.97	10.82006946	3.86123418
517.4	11.02203668	3.61542247
517.83	10.35740686	3.83178909
518.26	10.56697394	3.59269457
518.69	10.49048208	3.51481193
519.13	11.47355383	4.18287461
519.56	10.90803639	3.66626876
519.99	10.8889308	3.87772065
520.42	10.7031957	3.52501826
520.85	11.22607895	3.58454171
521.28	11.11645378	3.63634083
521.71	10.76929058	4.21800526
522.14	11.92294946	3.7436901
522.57	11.15757322	4.23658588
523	11.61005119	4.07367058
523.43	10.51056025	3.42006646
523.87	10.89536618	3.58629402
524.3	11.80961852	3.51813594
524.73	11.34703022	4.12191178
525.16	10.74459456	3.42772498
525.59	11.67980511	4.13405742
526.02	10.81335303	3.12541867
526.45	10.81391562	3.12598126
526.88	11.08252449	3.38895203
527.31	11.80657634	3.84339098
527.74	10.86950824	3.46221345
528.17	11.08532309	3.89898966
528.6	11.80816768	3.50784869
529.03	11.34575546	3.63551543
529.46	10.95062436	3.13241466
529.89	11.92060275	3.6128287
530.32	12.03696574	3.61945086
530.75	12.51730693	3.54944201
531.18	12.19614543	3.27984403
531.61	12.23746683	3.56821765
532.04	12.39525364	3.11298816
532.47	12.06576032	3.53355622
532.9	12.06214791	3.3516246
533.32	12.39167148	3.43273933
533.75	12.272327	3.72072679
534.18	12.27862939	3.36261797
534.61	12.63700742	3.57561522
535.04	12.48627708	3.37996372
535.47	12.43379432	4.32110231
535.9	12.46092828	4.00821594
536.33	12.35907601	3.24053058
