Wavelength(nm)	Pump_35(uJ)	Pump_73(uJ)	Pump_140(uJ)	Pump_260(uJ)	Pump_400(uJ)
311.07	0.00238146	0.00423375	0.00423375	0.00405748	0.00167601	0.00370458
311.53	7.058E-4	4.4104E-4	0.00167601	8.8208E-4	-7.058E-4	0.00308726
311.98	0.00167601	0.00308726	7.058E-4	2.6476E-4	-6.1731E-4	0.00220519
312.44	3.529E-4	7.9394E-4	-0.00141125	0.00114684	5.2917E-4	5.2917E-4
312.89	0.00149939	-8.814E-5	-0.00335203	-0.00220519	4.4104E-4	5.2917E-4
313.35	-7.9394E-4	1.7627E-4	8.8208E-4	2.6476E-4	9.7021E-4	0.00114684
313.8	0.00105835	0.00238146	-1.7627E-4	0.00132311	-7.058E-4	-0.00299913
314.26	-5.2917E-4	0.0035283	0.00176415	0.00229333	0.00185229	2.6476E-4
314.72	0.00370458	0.00114684	0.00123498	0.00202891	4.4104E-4	9.7021E-4
315.17	0.00114684	0.0031754	0.00273436	0.00158788	4.4104E-4	-0.00132311
315.63	-1.7627E-4	0.00326354	-0.00202891	7.058E-4	0.00105835	-8.814E-5
316.08	-0.00105835	0.00141125	4.4104E-4	8.8208E-4	1.7627E-4	-0.00167601
316.54	-0.00361644	-0.00194042	-0.00123498	-0.00185229	-0.00264623	-0.00185229
316.99	0.00485141	0.00238146	0.00132311	0.00370458	0.00344016	0.00511583
317.45	-3.529E-4	-8.8208E-4	8.814E-5	-8.814E-5	1.7627E-4	-0.00229333
317.9	2.6476E-4	-0.00396934	2.6476E-4	-0.00246995	-0.00458665	-0.0028225
318.36	-0.00105835	7.058E-4	-2.6476E-4	7.9394E-4	-8.814E-5	6.1731E-4
318.81	-0.00114684	0.00132311	0.00291099	-7.9394E-4	4.4104E-4	0.00202891
319.27	0.0031754	0.00405748	0.00123498	0.00238146	0.00229333	0.00291099
319.72	-0.0028225	-6.1731E-4	0.00194042	9.7021E-4	0.00273436	0.00449851
320.17	-0.00158788	-0.00335203	-0.00211705	0.00194042	-0.00123498	-7.058E-4
320.63	-0.00264623	-0.00105835	-0.00370458	1.7627E-4	-0.00185229	-0.00326354
321.08	-0.00141125	-5.2917E-4	-0.00202891	0.00141125	0.00220519	-3.529E-4
321.54	-0.00141125	0.00202891	0.00167601	0.00238146	0.00238146	3.529E-4
321.99	-8.8208E-4	0.00123498	6.1731E-4	4.4104E-4	-0.00114684	-0.00238146
322.45	-0.00361644	-0.00326354	0	-6.1731E-4	-0.00273436	-0.0028225
322.9	0.00291099	0.00158788	0.00220519	7.9394E-4	-0.00132311	0.00114684
323.36	-0.0038812	-0.00414561	-0.00123498	-7.058E-4	-0.00158788	-0.0028225
323.81	0.00141125	0.00229333	0.00405748	0.00299913	1.7627E-4	3.529E-4
324.26	-9.7021E-4	-6.1731E-4	0.00123498	-0.00149939	-0.00123498	-0.00344016
324.72	7.9394E-4	2.6476E-4	-0.00211705	-0.00176415	0.00123498	-8.8208E-4
