Wavelength(nm)	S1_532(arb.units)	S1_450(arb.units)	S1_400(arb.units)
431.37	0.00464826	0.00270175	0.0042501
431.81	0.00493974	0.00239057	0.00244716
432.25	0.00575838	0.00337267	0.00135227
432.69	0.00692477	0.00327314	-0.00167425
433.14	0.00558385	0.00320692	0.00354179
433.58	7.8099E-4	0.00484471	0.00225387
434.02	0.00358332	0.0036865	0.00418575
434.46	0.00254363	0.00490849	0.00225387
434.9	0.0053814	0.00389064	0.00186754
435.34	0.00310224	0.00571469	-5.1527E-4
435.79	0.00328475	0.00620463	0.00193189
436.23	0.00611676	0.00575044	0.0025115
436.67	0.0052144	0.0051561	-0.00206058
437.11	0.00157659	0.00528102	0.00238256
437.55	0.00180606	0.006554	0.00167425
437.99	0.0029153	0.00762304	8.3725E-4
438.43	0.00311242	0.0074904	0.00244716
438.87	0.0046992	0.00690114	-9.016E-4
439.32	0.0033605	0.00767402	5.7962E-4
439.76	0.00219899	0.00893685	0.00379943
440.2	0.00595906	0.00984522	0.00135227
440.64	0.00475945	0.01048303	0.00495841
441.08	0.00245592	0.01161321	4.5067E-4
441.52	0.00643748	0.01307753	0.00141661
441.96	0.00382696	0.01321525	-0.00238256
442.4	0.00442898	0.01587373	0.00154556
442.84	0.00501771	0.016736	0.00186754
443.28	0.00517098	0.01801405	0.00528039
443.72	0.00658633	0.01927708	0.00160991
444.16	0.0015066	0.02214194	0.00283348
444.6	0.00465358	0.02286912	3.8633E-4
445.04	0.00109506	0.02680059	7.0831E-4
445.48	0.00412155	0.03171152	8.3725E-4
445.92	0.00494639	0.03942393	0.00167425
446.36	0.00132409	0.04354166	0.00206058
446.8	0.00373792	0.05882085	0.00122358
447.24	0.00490741	0.08960633	0.00302652
447.68	0.00382563	0.19304276	0.00148122
448.12	0.00647868	0.49688499	-7.0831E-4
448.56	0.00505847	1.11766202	0.00154556
449	0.00343846	1.28705749	-1.2869E-4
449.44	0.00368875	1.28660086	0.00199623
449.88	0.00241694	1.28649626	8.3725E-4
450.32	0.00598342	1.28681516	-0.00115923
450.76	0.00503322	1.28671319	0.00193189
451.2	0.00700584	1.2868306	0.00225387
451.64	0.00298219	1.28663154	0.00244716
452.08	0.00403384	1.28676682	0.00186754
452.52	0.00471161	1.28679221	-5.7962E-4
452.96	0.00192301	0.76582138	0.00135227
453.4	0.00413838	0.25167735	0.00122358
453.84	0.00595241	0.12408338	0.00418575
454.28	0.00414946	0.07672278	0.00103029
454.72	0.00362186	0.05521601	0.00141661
455.16	0.00349871	0.04382725	5.7962E-4
455.6	0.00238017	0.0365156	0
456.04	0.00569504	0.02871138	0.00457208
456.47	0.00506865	0.02551725	9.016E-4
456.91	0.00693141	0.02407324	0.00238256
457.35	0.00617834	0.02159858	0.00328416
457.79	0.00426951	0.01940972	0.00231821
458.23	0.00249712	0.01664154	0.00328416
458.67	0.00660538	0.01526903	-6.434E-5
459.11	0.00648621	0.01586602	0.00412141
459.55	0.00489633	0.01463387	0.00160991
459.98	8.1111E-4	0.01419248	0.00309086
460.42	0.00386152	0.01070484	0.00225387
460.86	0.00503189	0.01036562	0.00206058
461.3	0.00363116	0.00948548	0.00154556
461.74	0.00858597	0.01148301	0.00392812
462.18	0.00764241	0.00946253	9.016E-4
462.61	0.00515902	0.00952123	0.00122358
463.05	0.00400593	0.0080364	0.00257585
463.49	0.00512447	0.00941663	-6.4396E-4
463.93	0.00775493	0.00743434	0.00212518
464.37	0.00503189	0.00535496	0.00367048
464.8	0.00547797	0.00704129	0.00283348
465.24	0.00636749	0.0060923	7.7265E-4
465.68	0.00560068	0.00568666	5.7962E-4
466.12	0.00156773	0.00645711	0.0025115
466.56	0.00482058	0.00475798	0.00289783
466.99	0.00624921	0.00378095	0.00128792
467.43	0.00380127	0.00425037	0.0042501
467.87	0.00620802	0.00564075	0.00115923
468.31	0.00772923	0.00502854	0.00218952
468.74	0.00295339	0.00542138	0.00103029
469.18	0.00276645	0.00283947	0.00283348
469.62	0.00572516	0.00505149	7.0831E-4
470.06	0.008407	0.00456927	0.00160991
470.49	0.00461149	0.0045642	0.00276914
470.93	-1.2005E-4	0.00248746	0.00231821
471.37	0.00452688	0.0027375	0.00360614
471.8	-2.5383E-4	0.0041941	0.00115923
472.24	0.00868741	0.00479109	0.00315547
472.68	0.00598431	0.00435498	0.00173859
473.12	0.00325728	0.00278585	0.00154556
473.55	0.00194161	0.00474518	6.4396E-4
473.99	0.00417958	0.00114542	0.00148122
474.43	0.00553733	0.00298755	0.00321981
474.86	0.00331487	0.0032707	0.00392812
475.3	0.00229113	0.00409721	0.00399246
475.74	0.00446664	0.00426317	0.00122358
476.17	0.00205413	0.00217627	0.00624633
476.61	0.00450562	0.0045386	0.00315547
477.05	0.0039984	0.00385997	0.0025115
477.48	0.00618365	0.00267372	0.00199623
477.92	0.0029689	0.00245171	0.00141661
478.35	0.00484052	0.00329873	0.00502275
478.79	0.00348852	0.00414312	9.016E-4
479.23	0.00346637	0.00479373	0.00508735
479.66	0.00451448	0.00659747	0.00418575
480.1	0.00184947	0.0046229	0.00289783
480.54	0.00560733	0.00447746	0.00341285
480.97	0.00100469	0.00468912	0.00354179
481.41	-9.569E-5	0.00491621	0.00264019
481.84	0.00703817	0.00618167	0.00405681
482.28	0.00634933	0.00506673	0.00341285
482.71	0.00293877	0.00662286	0.00167425
483.15	0.005606	0.00409214	0.00431444
483.59	0.00473819	0.00541874	0.00283348
484.02	0.00456365	0.00536511	0.00579566
484.46	0.00481172	0.00505149	0.00457208
484.89	0.0030256	0.00530905	0.00586
485.33	0.00722866	0.00499015	0.00315547
485.76	0.00383361	0.00481424	0.00347745
486.2	0.0058554	0.00344661	0.00418575
486.63	0.00507308	0.00792915	0.00450773
487.07	0.00432754	0.00529382	0.0042501
487.5	0.0021064	0.00571469	0.00598869
487.94	0.00252724	0.00723528	0.00792058
488.37	0.00296447	0.00819443	0.00714793
488.81	0.00495968	0.00825069	0.00869349
489.24	0.00341498	0.00994719	0.00933745
489.68	0.00385354	0.01282241	0.00804953
490.11	0.00403915	0.01330706	0.00837151
490.55	0.00512979	0.01281733	0.00695464
490.98	0.00565295	0.01449351	0.00785623
491.42	0.00460928	0.01433791	0.00953048
491.85	0.00548019	0.01330198	0.00772754
492.29	0.00396473	0.01166155	0.00598869
492.72	0.00335297	0.01189636	0.00605329
493.16	0.00645609	0.00982734	0.00392812
493.59	0.00600247	0.01059007	0.00540933
494.03	0.00962344	0.00978651	0.00579566
